0; 4.4513e-4
0; 4.7016e-4
0; 3.5000e-4
0; 3.6287e-4
0; 5.3401e-3
0; 4.0293e-4
0; 3.9697e-4
0; 3.4690e-4
0; 3.9196e-4
0; 4.1485e-4

15; 2.5161e-1
0; 1.1029e-3
0; 1.3440e-3
0; 1.1051e-3
0; 1.0979e-3
0; 1.3361e-3
0; 1.4009e-3
0; 1.3251e-3
2; 1.3919e-3
1; 1.5030e-3

9; 3.3541e-3
34; 4.9629e-3
7; 3.0470e-3
52; 5.3308e-3
7; 3.2129e-3
61; 5.0831e-3
37; 4.5512e-3
85; 8.1210e-3
76; 6.1669e-3
93; 7.4580e-3

0; 2.1670e-3
7; 2.6610e-3
9; 2.5630e-3
0; 1.2732e-2
6; 2.3730e-3
0; 2.1620e-3
0; 2.4910e-3
0; 2.2509e-3
0; 2.1880e-3
4; 2.5899e-3

2349; 1.6246e-1
214; 2.2000e-2
8977; 5.7802e-1
2533; 1.7235e-1
1921; 1.3200e-1
161; 2.4339e-2
4343; 2.7388e-1
2190; 1.6596e-1
9447; 5.9017e-1
444; 3.4678e-2

