12_30_6.txt: False, Time: 0.0229 seconds
12_30_29.txt: False, Time: 0.0204 seconds
12_30_26.txt: False, Time: 0.0229 seconds
12_30_5.txt: False, Time: 0.0213 seconds
12_30_10.txt: False, Time: 0.0221 seconds
12_30_7.txt: False, Time: 0.0215 seconds
12_30_27.txt: False, Time: 0.0208 seconds
12_30_30.txt: False, Time: 0.0230 seconds
12_30_23.txt: False, Time: 0.0209 seconds
12_30_15.txt: False, Time: 0.0227 seconds
12_30_2.txt: False, Time: 0.0228 seconds
12_30_19.txt: False, Time: 0.0420 seconds
12_30_18.txt: False, Time: 0.0226 seconds
12_30_21.txt: False, Time: 0.0210 seconds
12_30_11.txt: False, Time: 0.0225 seconds
12_30_24.txt: False, Time: 0.0235 seconds
12_30_14.txt: False, Time: 0.0233 seconds
12_30_12.txt: False, Time: 0.0217 seconds
12_30_25.txt: False, Time: 0.0220 seconds
12_30_1.txt: False, Time: 0.0221 seconds
12_30_17.txt: False, Time: 0.0218 seconds
12_30_4.txt: False, Time: 0.0233 seconds
12_30_3.txt: False, Time: 0.0220 seconds
12_30_22.txt: False, Time: 0.0241 seconds
12_30_9.txt: False, Time: 0.0235 seconds
12_30_20.txt: False, Time: 0.0223 seconds
12_30_16.txt: False, Time: 0.0226 seconds
12_30_28.txt: False, Time: 0.0215 seconds
12_30_8.txt: False, Time: 0.0217 seconds
12_30_13.txt: False, Time: 0.0390 seconds
