12_30_6.txt: False, Time: 0.0644 seconds
12_30_29.txt: False, Time: 0.0304 seconds
12_30_26.txt: False, Time: 0.0505 seconds
12_30_5.txt: False, Time: 0.0487 seconds
12_30_10.txt: False, Time: 0.0303 seconds
12_30_7.txt: False, Time: 0.0506 seconds
12_30_27.txt: False, Time: 0.0307 seconds
12_30_30.txt: False, Time: 0.0316 seconds
12_30_23.txt: False, Time: 0.0301 seconds
12_30_15.txt: False, Time: 0.0550 seconds
12_30_2.txt: False, Time: 0.0306 seconds
12_30_19.txt: False, Time: 0.0319 seconds
12_30_18.txt: False, Time: 0.0326 seconds
12_30_21.txt: False, Time: 0.0316 seconds
12_30_11.txt: False, Time: 0.0307 seconds
12_30_24.txt: False, Time: 0.0301 seconds
12_30_14.txt: False, Time: 0.0511 seconds
12_30_12.txt: False, Time: 0.0498 seconds
12_30_25.txt: False, Time: 0.0532 seconds
12_30_1.txt: False, Time: 0.0305 seconds
12_30_17.txt: False, Time: 0.0313 seconds
12_30_4.txt: False, Time: 0.0304 seconds
12_30_3.txt: False, Time: 0.0323 seconds
12_30_22.txt: False, Time: 0.0540 seconds
12_30_9.txt: False, Time: 0.0503 seconds
12_30_20.txt: False, Time: 0.0333 seconds
12_30_16.txt: False, Time: 0.0310 seconds
12_30_28.txt: False, Time: 0.0510 seconds
12_30_8.txt: False, Time: 0.0311 seconds
12_30_13.txt: False, Time: 0.0304 seconds
