20_60_15.txt: False, Time: 0.1464 seconds
20_60_13.txt: False, Time: 0.1815 seconds
20_60_4.txt: False, Time: 0.0931 seconds
20_60_10.txt: False, Time: 0.1868 seconds
20_60_16.txt: False, Time: 0.1872 seconds
20_60_2.txt: False, Time: 0.1918 seconds
20_60_8.txt: False, Time: 0.1841 seconds
20_60_6.txt: False, Time: 0.0922 seconds
20_60_9.txt: False, Time: 0.1795 seconds
20_60_12.txt: False, Time: 0.0913 seconds
20_60_11.txt: False, Time: 0.0933 seconds
20_60_5.txt: False, Time: 0.0933 seconds
20_60_19.txt: False, Time: 0.0919 seconds
20_60_14.txt: False, Time: 0.0924 seconds
20_60_17.txt: False, Time: 0.0884 seconds
20_60_3.txt: False, Time: 0.1830 seconds
20_60_20.txt: False, Time: 0.0970 seconds
20_60_7.txt: False, Time: 0.1823 seconds
20_60_1.txt: False, Time: 0.0930 seconds
20_60_18.txt: False, Time: 0.1847 seconds
