20_40_11.txt: False, Time: 0.0479 seconds
20_40_5.txt: False, Time: 0.0451 seconds
20_40_9.txt: False, Time: 0.0470 seconds
20_40_19.txt: True, Time: 0.0701 seconds
20_40_4.txt: False, Time: 0.0516 seconds
20_40_17.txt: False, Time: 0.0503 seconds
20_40_3.txt: False, Time: 0.0470 seconds
20_40_21.txt: False, Time: 0.0447 seconds
20_40_20.txt: False, Time: 0.0648 seconds
20_40_26.txt: False, Time: 0.0494 seconds
20_40_23.txt: False, Time: 0.0453 seconds
20_40_28.txt: False, Time: 0.0454 seconds
20_40_1.txt: True, Time: 0.0525 seconds
20_40_29.txt: False, Time: 0.0703 seconds
20_40_16.txt: True, Time: 0.0529 seconds
20_40_8.txt: True, Time: 0.0526 seconds
20_40_7.txt: True, Time: 0.0526 seconds
20_40_30.txt: True, Time: 0.0521 seconds
20_40_12.txt: True, Time: 0.0708 seconds
20_40_22.txt: True, Time: 0.0525 seconds
20_40_10.txt: False, Time: 0.0454 seconds
20_40_27.txt: False, Time: 0.0485 seconds
20_40_6.txt: True, Time: 0.0572 seconds
20_40_25.txt: True, Time: 0.0806 seconds
20_40_13.txt: True, Time: 0.0599 seconds
20_40_15.txt: False, Time: 0.0500 seconds
20_40_14.txt: True, Time: 0.0542 seconds
20_40_24.txt: True, Time: 0.0517 seconds
20_40_18.txt: True, Time: 0.0815 seconds
20_40_2.txt: True, Time: 0.0549 seconds
