12_10_7.txt: True, Time: 0.0269 seconds
12_10_26.txt: True, Time: 0.0243 seconds
12_10_4.txt: True, Time: 0.0238 seconds
12_10_3.txt: True, Time: 0.0242 seconds
12_10_8.txt: True, Time: 0.0262 seconds
12_10_19.txt: True, Time: 0.0248 seconds
12_10_22.txt: True, Time: 0.0266 seconds
12_10_15.txt: True, Time: 0.0243 seconds
12_10_21.txt: True, Time: 0.0250 seconds
12_10_5.txt: True, Time: 0.0238 seconds
12_10_27.txt: True, Time: 0.0238 seconds
12_10_2.txt: True, Time: 0.0382 seconds
12_10_6.txt: True, Time: 0.0237 seconds
12_10_28.txt: True, Time: 0.0245 seconds
12_10_29.txt: True, Time: 0.0245 seconds
12_10_13.txt: True, Time: 0.0237 seconds
12_10_24.txt: True, Time: 0.0242 seconds
12_10_25.txt: True, Time: 0.0236 seconds
12_10_9.txt: True, Time: 0.0258 seconds
12_10_20.txt: True, Time: 0.0253 seconds
12_10_16.txt: True, Time: 0.0259 seconds
12_10_30.txt: True, Time: 0.0257 seconds
12_10_1.txt: True, Time: 0.0246 seconds
12_10_23.txt: True, Time: 0.0253 seconds
12_10_12.txt: True, Time: 0.0237 seconds
12_10_18.txt: True, Time: 0.0237 seconds
12_10_11.txt: True, Time: 0.0247 seconds
12_10_10.txt: True, Time: 0.0236 seconds
12_10_14.txt: True, Time: 0.0248 seconds
12_10_17.txt: False, Time: 0.0211 seconds
