20_40_11.txt: False, Time: 0.1907 seconds
20_40_5.txt: False, Time: 0.1847 seconds
20_40_9.txt: False, Time: 0.1711 seconds
20_40_19.txt: True, Time: 0.6395 seconds
20_40_4.txt: False, Time: 0.1889 seconds
20_40_17.txt: False, Time: 0.1998 seconds
20_40_3.txt: False, Time: 0.1935 seconds
20_40_21.txt: False, Time: 0.0857 seconds
20_40_20.txt: False, Time: 0.1886 seconds
20_40_26.txt: False, Time: 0.1787 seconds
20_40_23.txt: False, Time: 0.1744 seconds
20_40_28.txt: False, Time: 0.0868 seconds
20_40_1.txt: True, Time: 0.6294 seconds
20_40_29.txt: False, Time: 0.1792 seconds
20_40_16.txt: True, Time: 0.5336 seconds
20_40_8.txt: True, Time: 0.4932 seconds
20_40_7.txt: True, Time: 0.5590 seconds
20_40_30.txt: True, Time: 0.5016 seconds
20_40_12.txt: True, Time: 0.5470 seconds
20_40_22.txt: True, Time: 0.6093 seconds
20_40_10.txt: False, Time: 0.1856 seconds
20_40_27.txt: False, Time: 0.1855 seconds
20_40_6.txt: True, Time: 0.5810 seconds
20_40_25.txt: True, Time: 0.6908 seconds
20_40_13.txt: True, Time: 0.6611 seconds
20_40_15.txt: False, Time: 0.1976 seconds
20_40_14.txt: True, Time: 0.5703 seconds
20_40_24.txt: True, Time: 0.5653 seconds
20_40_18.txt: True, Time: 0.9747 seconds
20_40_2.txt: True, Time: 0.7259 seconds
